wavelength[nm],power[dBm]
1574.110,-65.980
1574.120,-65.929
1574.130,-66.148
1574.140,-65.964
1574.150,-65.991
1574.160,-65.868
1574.170,-66.009
1574.180,-65.753
1574.190,-65.603
1574.200,-65.694
1574.210,-65.676
1574.220,-65.533
1574.230,-65.395
1574.240,-65.232
1574.250,-65.140
1574.260,-65.010
1574.270,-65.038
1574.280,-64.833
1574.290,-64.830
1574.300,-64.773
1574.310,-64.593
1574.320,-64.596
1574.330,-64.604
1574.340,-64.850
1574.350,-64.765
1574.360,-64.836
1574.370,-64.961
1574.380,-65.110
1574.390,-65.533
1574.400,-65.266
1574.410,-65.318
1574.420,-65.568
1574.430,-65.466
1574.440,-65.690
1574.450,-65.706
1574.460,-66.097
1574.470,-65.880
1574.480,-65.832
1574.490,-66.047
1574.500,-65.796
1574.510,-66.006
1574.520,-65.864
1574.530,-65.916
1574.540,-65.605
1574.550,-65.585
1574.560,-65.566
1574.570,-65.685
1574.580,-65.758
1574.590,-65.439
1574.600,-65.035
1574.610,-65.111
1574.620,-65.246
1574.630,-64.912
1574.640,-64.826
1574.650,-64.769
1574.660,-64.791
1574.670,-64.786
1574.680,-64.924
1574.690,-64.635
1574.700,-64.906
1574.710,-64.758
1574.720,-65.033
1574.730,-65.015
1574.740,-65.034
1574.750,-65.297
1574.760,-65.188
1574.770,-65.232
1574.780,-65.402
1574.790,-65.673
1574.800,-65.636
1574.810,-65.737
1574.820,-65.865
1574.830,-65.961
1574.840,-66.208
1574.850,-66.118
1574.860,-66.012
1574.870,-66.030
1574.880,-66.148
1574.890,-66.037
1574.900,-66.053
1574.910,-65.982
1574.920,-65.702
1574.930,-65.827
1574.940,-65.576
1574.950,-65.477
1574.960,-65.377
1574.970,-65.255
1574.980,-65.104
1574.990,-65.205
1575.000,-64.928
1575.010,-64.743
1575.020,-64.774
1575.030,-64.563
1575.040,-64.592
1575.050,-64.575
1575.060,-64.398
1575.070,-64.476
1575.080,-64.597
1575.090,-64.631
1575.100,-64.789
1575.110,-64.933
1575.120,-64.988
1575.130,-65.169
1575.140,-65.313
1575.150,-65.202
1575.160,-65.685
1575.170,-65.727
1575.180,-65.814
1575.190,-65.841
1575.200,-66.218
1575.210,-66.280
1575.220,-66.237
1575.230,-66.188
1575.240,-66.289
1575.250,-66.397
1575.260,-66.398
1575.270,-66.493
1575.280,-66.375
1575.290,-66.270
1575.300,-66.141
1575.310,-66.070
1575.320,-65.925
1575.330,-65.992
1575.340,-65.615
1575.350,-65.611
1575.360,-65.467
1575.370,-65.239
1575.380,-65.133
1575.390,-65.181
1575.400,-64.905
1575.410,-64.749
1575.420,-64.613
1575.430,-64.592
1575.440,-64.562
1575.450,-64.529
1575.460,-64.564
1575.470,-64.592
1575.480,-64.631
1575.490,-64.776
1575.500,-64.812
1575.510,-64.890
1575.520,-65.004
1575.530,-65.085
1575.540,-65.434
1575.550,-65.614
1575.560,-65.841
1575.570,-65.849
1575.580,-66.099
1575.590,-66.127
1575.600,-66.217
1575.610,-66.399
1575.620,-66.334
1575.630,-66.610
1575.640,-66.686
1575.650,-66.280
1575.660,-66.572
1575.670,-66.488
1575.680,-66.449
1575.690,-66.500
1575.700,-66.284
1575.710,-66.171
1575.720,-66.050
1575.730,-65.895
1575.740,-65.714
1575.750,-65.663
1575.760,-65.337
1575.770,-65.145
1575.780,-65.090
1575.790,-64.988
1575.800,-64.761
1575.810,-64.634
1575.820,-64.512
1575.830,-64.464
1575.840,-64.611
1575.850,-64.461
1575.860,-64.439
1575.870,-64.657
1575.880,-64.779
1575.890,-64.811
